"","date","text","month"
"54","2020-03-29","#Hero #italy #GiampieroGidon 85 y.o. 3doctor on the #FrontLines  I only hope she ahs adequate #PPE
protect this #Treasure
there are more ill patients than #Coronavirus who need medical care. https://t.co/Azzck28BoO","March"
"55","2020-03-29","#CoronavirusPandemic 
Devlet bahçeli mhp nin başından düşsün artık. anlamıyorum bu, mhp li mi akp li mi https://t.co/S3V4Snxa44","March"
"56","2020-03-29","Corona got talent... #CronaVirus #bbcnews #AlJazeera #ajarabic #StayAtHomeAndStaySafe #CoronaUpdate #coronavirus #SundayMorning #TigerKing #clocksforward #London #Egypt #Cairo #fun #britiangottalent #الرياض #الرياض_الان #سوكا_تشققات #مصر_اقوي_من_كورونا https://t.co/F3mHwYJCqf","March"
"57","2020-03-29","@AsaHutchinson You might want to reconsider and make it a Special Day of Yelling in Arkansas. Apparently the good man Kenneth Copeland has shown us that yelling makes the #coronavirus go away.

https://t.co/o0mjm3pg8N","March"
"58","2020-03-29","I called my gram, in the nursing home, today, we looked at each other through her window as I stood outside. She can't even leave her room. I thought at least she'd be able to roam inside the building. But she was in good spirits, embroidering. #Covid_19","March"
"59","2020-03-29","@MinistryofPubl1 This is UK #Covid_19 stipulation
Hope for Guyana and #Thecommonwealth # #Caribbean fighting this invisible killer virus. #onelove @WHO #KeepGuyanaSafe

https://t.co/i0MkXSCYAJ","March"
"60","2020-03-29","my cat transmits love, not corona. 
I love you Mittsy💕💞💓
#Covid_19 https://t.co/vPfgYVFCUg https://t.co/Mg838j5F5p","March"
"61","2020-03-29","WHAT HAPPENS IN CHINA AFFECTS US ALL.

Watch: How the #coronavirus outbreak affects the global economy https://t.co/mVuDgqZ6xe https://t.co/oQd2Az2WjN 03
#Resist","March"
"62","2020-03-29","This too shall pass

#Covid19 #Corona #CoronaVirus #StayHome #WashYourHands #KeepClean #AnimatedMessage https://t.co/cg2Mpvq74p","March"
"63","2020-03-29","#Legaladrona #49milioni 
#30denari =#49milioni +#mose +#rubli +#diamanti #laureaAlbania #immigratopadano #giorgiameloni #zaiapresidente #fontanapres #coronavirus #covid19 #coronavirusitalIa","March"
"64","2020-03-29","@rtve FALSO! MENTIRA!!! Que vergüenza!!! Como puede ser tan DESCARADO de mentir de esta forma!  A quien quiere engañar???  #coronavirus #coronavirusEspana","March"
"65","2020-03-29","Virginia local government with immediate need #COVID19 Supplies #EmergencyContracts #GovDirections

https://t.co/cNzKhR5VpB","March"
"66","2020-03-29","#Entérate | El Gobernador de Hidalgo, Omar Fayad, da positivo en la prueba de #COVID19 🦠. https://t.co/qR48qZWzMN","March"
"67","2020-03-29","#COVID19 #RestezChezVous Vos enfants débordent d'énergie et vous ne savez plus comment les occuper ? Nous avons la solution ! 💡 Voici de nombreuses idées d'activités à faire avec eux (ou non) ✏️⚽🎨 https://t.co/bD2N7Ah0xa","March"
"68","2020-03-29","Track COVID-19 and Flu symptoms around you. Live map of epidemics in your locality. The more people use it, the better the real picture of the effect of lockdown &amp; community spreads.

https://t.co/U3STCG2yEb 

#CoronavirusPandemic #coronavirus #CoronaVirusUpdate #CoronaUpdate","March"
"69","2020-03-29","सध्या जैविक युद्ध चालू आहे का? | Girish Kuber | Full Interview | #behind... https://t.co/IyT7jkjbsg via @YouTube 

Very good analysis of overall situation 👍

#Maharashtra #COVID19 #marathinews #Marathi #analysis","March"
"70","2020-03-29","කොරෝනා වෛරසය ආසාදනය වී අංගොඩ අයි.ඞී.එච්. රෝහලේ ප්‍රතිකාර ලැබූ තවත් පුද්ගලයෙකු සුවය ලබා අද පස්වරුවේ රෝහලෙන් පිටව ගොස් ඇති අතර දැනට කොරෝනා ආසාදිතයන් 11 දෙනෙකු සුවය ලබා තිබෙනවා #Lka #Covid19 #SriLanka","March"
"71","2020-03-29","Après le Panama, c'est au tour de la capitale du Groenland à interdire la vente et la consommation d'alcool pendant tout le temps du confinement. (Libération)
#Covid_19 #COVID19 #coronavirus #CoronaUpdate","March"
"72","2020-03-29","Music superstars Elton John, Billie Eilish, Alicia Keys, Backstreet  Boys and more join forces for the @iHeartRadio Living Room Concert to provide entertainment relief &amp; support for Americans to help fight the spread of the #COVID19 virus. Watch TONIGHT at 8p on Fox 26. https://t.co/3ySPMTcbU3","March"
"73","2020-03-29","A 39-year-old #coronavirus patient who could hardly breathe posted a stark video from the #ICU to warn people who think it won't happen to them https://t.co/BBGuCMGRK6","March"
"74","2020-03-29","Ya son 12 casos de #CoronaVirus en #Oaxaca
https://t.co/yRQCJmNHI1 #Mundo #Guerra https://t.co/BqZWiirUyO","March"
"75","2020-03-29","Per confinament total el d’@Esquerra_ERC.

#pagafantes
#Covid_19","March"
"76","2020-03-29","Thank you for staying at home this weekend - we've been monitoring The #Norfolk &amp; #Suffolk #Broads with our partner agency - @BroadsAuth Rangers on solo patrols &amp; using many webcams. 
⚓👮‍♂️ #1048 @NorfolkPolice
#StayAtHomeAndStaySafe #ProtectOurNHS #COVID19 https://t.co/L6iEME8cLi","March"
"77","2020-03-29","Look at this cool photo I found of a Trump supporter arguing that Trump saved millions of lives after spending months claiming that the #COVID19 coverage was an overreaction to the flu. 
#whitehousePressconference #PressBriefing https://t.co/045eQoj2ph","March"
